count,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_clean,Emotions,text_sep,Hashtags_sep,Country_sep
1, Just published a new blog post. Check it out!      , Positive  ,2023/1/17 15:15, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,2023,1,17,15,Positive,Positive,"['Just', 'published', 'a', 'new', 'blog', 'post.', 'Check', 'it', 'out!']","['#Blogging', '#NewPost']",['USA']
1, Feeling a bit under the weather today.             , Negative  ,2023/1/18 10:30, WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,2023,1,18,10,Negative,Negative,"['Feeling', 'a', 'bit', 'under', 'the', 'weather', 'today.']","['#SickDay', '#Health']",['Canada']
1, Exploring the city's hidden gems.                  , Positive  ,2023/1/18 14:50, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,2023,1,18,14,Positive,Positive,"['Exploring', 'the', ""city's"", 'hidden', 'gems.']","['#CityExplore', '#HiddenGems']",['UK']
1," New year, new fitness goals!                     ", Positive  ,2023/1/18 18:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,2023,1,18,18,Positive,Positive,"['New', 'year,', 'new', 'fitness', 'goals!', '']","['#NewYear', '#FitnessGoals']",['USA']
1, Technology is changing the way we live.            , Neutral   ,2023/1/19 9:45, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, India    ,2023,1,19,9,Neutral,Neutral,"['Technology', 'is', 'changing', 'the', 'way', 'we', 'live.']","['#Tech', '#Innovation']",['India']
1, Reflecting on the past and looking ahead.          , Positive  ,2023/1/19 13:20, Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      ,2023,1,19,13,Positive,Positive,"['Reflecting', 'on', 'the', 'past', 'and', 'looking', 'ahead.']","['#Reflection', '#Future']",['USA']
1, Just adopted a cute furry friend!               , Positive  ,2023/1/19 17:10, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,2023,1,19,17,Positive,Positive,"['Just', 'adopted', 'a', 'cute', 'furry', 'friend!', '']","['#PetAdoption', '#FurryFriend']",['Canada']
1, Late-night gaming session with friends.            , Positive  ,2023/1/20 0:05, GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       ,2023,1,20,0,Positive,Positive,"['Late-night', 'gaming', 'session', 'with', 'friends.']","['#Gaming', '#LateNight']",['UK']
1, Attending a virtual conference on AI.              , Neutral   ,2023/1/20 11:30, TechConference, Facebook , #AI #TechConference                     ,25,50,USA,2023,1,20,11,Neutral,Neutral,"['Attending', 'a', 'virtual', 'conference', 'on', 'AI.']","['#AI', '#TechConference']",['USA']
1, Winter blues got me feeling low.                   , Negative  ,2023/1/20 15:15, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,2023,1,20,15,Negative,Negative,"['Winter', 'blues', 'got', 'me', 'feeling', 'low.']","['#WinterBlues', '#Mood']",['USA']
1, Sipping coffee and enjoying a good book.           , Positive  ,2023/1/21 8:40, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22,45, India    ,2023,1,21,8,Positive,Positive,"['Sipping', 'coffee', 'and', 'enjoying', 'a', 'good', 'book.']","['#Reading', '#CoffeeTime']",['India']
1, Exploring the world of virtual reality.            , Positive  ,2023/1/21 13:20, VRExplorer   , Facebook , #VR #VirtualReality                     ,15,30,USA,2023,1,21,13,Positive,Positive,"['Exploring', 'the', 'world', 'of', 'virtual', 'reality.']","['#VR', '#VirtualReality']",['USA']
1, Productive day ticking off my to-do list.          , Positive  ,2023/1/21 16:45, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA ,2023,1,21,16,Positive,Positive,"['Productive', 'day', 'ticking', 'off', 'my', 'to-do', 'list.']","['#Productivity', '#WorkFromHome']",['USA']
1, Just finished a challenging workout routine.       , Positive  ,2023/1/22 9:15, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20,40, UK       ,2023,1,22,9,Positive,Positive,"['Just', 'finished', 'a', 'challenging', 'workout', 'routine.']","['#Fitness', '#ChallengeAccepted']",['UK']
1, Celebrating a milestone at work!                , Positive  ,2023/1/22 14:30, CareerMilestone, Facebook , #Career #Milestone                      ,12,25, Canada  ,2023,1,22,14,Positive,Positive,"['Celebrating', 'a', 'milestone', 'at', 'work!', '']","['#Career', '#Milestone']",['Canada']
1, Sunday brunch with friends.                        , Positive  ,2023/1/22 12:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,2023,1,22,12,Positive,Positive,"['Sunday', 'brunch', 'with', 'friends.']","['#Brunch', '#Friends']",['UK']
1, Learning a new language for personal growth.       , Positive  ,2023/1/23 16:20, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25,50, India     ,2023,1,23,16,Positive,Positive,"['Learning', 'a', 'new', 'language', 'for', 'personal', 'growth.']","['#LanguageLearning', '#PersonalGrowth']",['India']
1, Quiet evening with a good book.                    , Positive  ,2023/1/23 19:45, BookLover    , Instagram , #Reading #QuietTime                     ,15,30, Australia ,2023,1,23,19,Positive,Positive,"['Quiet', 'evening', 'with', 'a', 'good', 'book.']","['#Reading', '#QuietTime']",['Australia']
1, Reflecting on the importance of mental health.     , Positive  ,2023/1/24 11:30, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22,45, USA      ,2023,1,24,11,Positive,Positive,"['Reflecting', 'on', 'the', 'importance', 'of', 'mental', 'health.']","['#MentalHealth', '#SelfCare']",['USA']
1, New painting in progress!                        , Positive  ,2023/1/24 15:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12,25, Canada ,2023,1,24,15,Positive,Positive,"['New', 'painting', 'in', 'progress!', '']","['#Art', '#PaintingInProgress']",['Canada']
1, Weekend road trip to explore scenic views.         , Positive  ,2023/1/24 17:30, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,2023,1,24,17,Positive,Positive,"['Weekend', 'road', 'trip', 'to', 'explore', 'scenic', 'views.']","['#RoadTrip', '#ScenicViews']",['UK']
1, Enjoying a cup of tea and watching the sunset.     , Positive  ,2023/1/25 18:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15,30, India    ,2023,1,25,18,Positive,Positive,"['Enjoying', 'a', 'cup', 'of', 'tea', 'and', 'watching', 'the', 'sunset.']","['#TeaTime', '#Sunset']",['India']
1, Coding a new project with enthusiasm.              , Positive  ,2023/1/25 13:15, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30,60, USA ,2023,1,25,13,Positive,Positive,"['Coding', 'a', 'new', 'project', 'with', 'enthusiasm.']","['#Coding', '#Enthusiasm']",['USA']
1, Feeling inspired after attending a workshop.       , Positive  ,2023/1/26 9:45, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25,50,USA,2023,1,26,9,Positive,Positive,"['Feeling', 'inspired', 'after', 'attending', 'a', 'workshop.']","['#Inspiration', '#Workshop']",['USA']
1, Winter sports day at the local park.               , Positive  ,2023/1/26 14:20, WinterSports  , Twitter  , #WinterSports #Fun                     ,15,30, Canada   ,2023,1,26,14,Positive,Positive,"['Winter', 'sports', 'day', 'at', 'the', 'local', 'park.']","['#WinterSports', '#Fun']",['Canada']
1, Quality time with family this weekend.             , Positive  ,2023/1/26 17:40, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22,45, UK        ,2023,1,26,17,Positive,Positive,"['Quality', 'time', 'with', 'family', 'this', 'weekend.']","['#FamilyTime', '#Weekend']",['UK']
1, Attending a live music concert tonight.            , Positive  ,2023/1/27 20:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18,35, USA ,2023,1,27,20,Positive,Positive,"['Attending', 'a', 'live', 'music', 'concert', 'tonight.']","['#Music', '#ConcertNight']",['USA']
1, Practicing mindfulness with meditation.            , Positive  ,2023/1/27 12:30, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15,30, India    ,2023,1,27,12,Positive,Positive,"['Practicing', 'mindfulness', 'with', 'meditation.']","['#Mindfulness', '#Meditation']",['India']
1, Trying out a new dessert recipe.                   , Positive  ,2023/1/27 16:10, DessertExplorer, Facebook , #Dessert #Cooking                      ,12,25, Canada ,2023,1,27,16,Positive,Positive,"['Trying', 'out', 'a', 'new', 'dessert', 'recipe.']","['#Dessert', '#Cooking']",['Canada']
1, Excited about the upcoming gaming tournament.      , Positive  ,2023/1/28 9:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30,60,USA,2023,1,28,9,Positive,Positive,"['Excited', 'about', 'the', 'upcoming', 'gaming', 'tournament.']","['#Gaming', '#Tournament']",['USA']
1, Planning a garden makeover for spring.             , Positive  ,2023/1/28 14:45, GardenPlanner , Twitter  , #Gardening #Spring                     ,25,50, USA      ,2023,1,28,14,Positive,Positive,"['Planning', 'a', 'garden', 'makeover', 'for', 'spring.']","['#Gardening', '#Spring']",['USA']
1, Celebrating a friend's birthday tonight!        , Positive  ,2023/1/28 19:30, BirthdayBash , Facebook , #Birthday #Celebration                  ,15,30, UK ,2023,1,28,19,Positive,Positive,"['Celebrating', 'a', ""friend's"", 'birthday', 'tonight!', '']","['#Birthday', '#Celebration']",['UK']
1, Feeling accomplished after a productive day.       , Positive  ,2023/1/29 17:00, ProductivityWin, Instagram , #Accomplished #Success               ,22,45, India ,2023,1,29,17,Positive,Positive,"['Feeling', 'accomplished', 'after', 'a', 'productive', 'day.']","['#Accomplished', '#Success']",['India']
1, A cozy evening with a good movie.                 , Positive  ,2023/1/29 20:20, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18,35, Canada   ,2023,1,29,20,Positive,Positive,"['A', 'cozy', 'evening', 'with', 'a', 'good', 'movie.']","['#CozyNight', '#MovieTime']",['Canada']
1, Exploring local art galleries this weekend.        , Positive  ,2023/1/30 11:30, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15,30, USA      ,2023,1,30,11,Positive,Positive,"['Exploring', 'local', 'art', 'galleries', 'this', 'weekend.']","['#Art', '#GalleryExplore']",['USA']
1, New book release from my favorite author!          , Positive  ,2023/1/30 15:45, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12,25, UK   ,2023,1,30,15,Positive,Positive,"['New', 'book', 'release', 'from', 'my', 'favorite', 'author!']","['#BookRelease', '#FavoriteAuthor']",['UK']
1, Attending a virtual reality meetup.                , Positive  ,2023/1/30 18:30, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28,55, India    ,2023,1,30,18,Positive,Positive,"['Attending', 'a', 'virtual', 'reality', 'meetup.']","['#VRMeetup', '#VirtualReality']",['India']
1, Reflecting on the beauty of nature.                , Positive  ,2023/1/31 10:45, NatureLover  , Facebook , #Nature #Reflection                     ,15,30, Australia ,2023,1,31,10,Positive,Positive,"['Reflecting', 'on', 'the', 'beauty', 'of', 'nature.']","['#Nature', '#Reflection']",['Australia']
1, Cooking a special dinner for loved ones.           , Positive  ,2023/1/31 19:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20,40, USA       ,2023,1,31,19,Positive,Positive,"['Cooking', 'a', 'special', 'dinner', 'for', 'loved', 'ones.']","['#Cooking', '#SpecialDinner']",['USA']
1, Feeling optimistic about the week ahead.           , Positive  ,2023/1/31 16:20, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15,30, Canada   ,2023,1,31,16,Positive,Positive,"['Feeling', 'optimistic', 'about', 'the', 'week', 'ahead.']","['#Optimism', '#NewWeek']",['Canada']
1, Starting a new fitness challenge tomorrow!      , Positive  ,2023/2/1 8:00, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22,45, UK         ,2023,2,1,8,Positive,Positive,"['Starting', 'a', 'new', 'fitness', 'challenge', 'tomorrow!', '']","['#FitnessChallenge', '#NewBeginnings']",['UK']
1, Sunday bike ride through scenic trails.           , Positive  ,2023/2/1 13:30, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18,35, USA     ,2023,2,1,13,Positive,Positive,"['Sunday', 'bike', 'ride', 'through', 'scenic', 'trails.']","['#BikeRide', '#ScenicTrails']",['USA']
1, Can't believe the injustice happening in our society., Anger        ,2023/2/11 9:30, SocialJustice   , Twitter  , #Injustice #Angry                            ,20,40, Canada     ,2023,2,11,9,Anger,Negative,"[""Can't"", 'believe', 'the', 'injustice', 'happening', 'in', 'our', 'society.']","['#Injustice', '#Angry']",['Canada']
1, Feeling a sense of fear after watching a thriller movie. , Fear         ,2023/2/11 21:15, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15,30, USA          ,2023,2,11,21,Fear,Negative,"['Feeling', 'a', 'sense', 'of', 'fear', 'after', 'watching', 'a', 'thriller', 'movie.']","['#Fear', '#ThrillerMovie']",['USA']
1, Heartbroken after hearing the news about a natural disaster. , Sadness      ,2023/2/12 14:45, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25,50, India      ,2023,2,12,14,Sadness,Negative,"['Heartbroken', 'after', 'hearing', 'the', 'news', 'about', 'a', 'natural', 'disaster.']","['#Sadness', '#NaturalDisaster']",['India']
1, The state of the world's environment is just disgusting. , Disgust      ,2023/2/12 18:20, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18,35, UK         ,2023,2,12,18,Disgust,Negative,"['The', 'state', 'of', 'the', ""world's"", 'environment', 'is', 'just', 'disgusting.']","['#Disgust', '#Environment']",['UK']
1, Pure happiness: celebrating a loved one's achievement! , Happiness    ,2023/2/13 10:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30,60, USA ,2023,2,13,10,Happiness,Positive,"['Pure', 'happiness:', 'celebrating', 'a', 'loved', ""one's"", 'achievement!']","['#Happiness', '#Celebration']",['USA']
1, Laughter is the best medicineenjoying a comedy show. , Joy          ,2023/2/13 19:30, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22,45, Canada    ,2023,2,13,19,Joy,Positive,"['Laughter', 'is', 'the', 'best', 'medicineenjoying', 'a', 'comedy', 'show.']","['#Joy', '#ComedyShow']",['Canada']
1, Sharing love and positive vibes with everyone! §Ô      , Love         ,2023/2/14 8:30, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,14,8,Love,Positive,"['Sharing', 'love', 'and', 'positive', 'vibes', 'with', 'everyone!', '§Ô']","['#Love', '#SpreadLove']",['Australia']
1, An amusing incident brightened up my day!               , Amusement    ,2023/2/14 14:20, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18,35, UK           ,2023,2,14,14,Amusement,Positive,"['An', 'amusing', 'incident', 'brightened', 'up', 'my', 'day!']","['#Amusement', '#FunTimes']",['UK']
1, Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,2023/2/14 19:45, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25,50, Canada       ,2023,2,14,19,Enjoyment,Positive,"['Enjoying', 'a', 'quiet', 'evening', 'with', 'a', 'book', 'and', 'some', 'tea.']","['#Enjoyment', '#BookTime']",['Canada']
1, Admiring the beauty of nature during a peaceful hike.   , Admiration   ,2023/2/15 11:30, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20,40, USA       ,2023,2,15,11,Admiration,Positive,"['Admiring', 'the', 'beauty', 'of', 'nature', 'during', 'a', 'peaceful', 'hike.']","['#Admiration', '#Nature']",['USA']
1, Sending affectionate vibes to all my followers!          , Affection    ,2023/2/15 16:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15,30,USA,2023,2,15,16,Affection,Positive,"['Sending', 'affectionate', 'vibes', 'to', 'all', 'my', 'followers!']","['#Affection', '#PositiveVibes']",['USA']
1, Experiencing awe at the breathtaking sunset.            , Awe          ,2023/2/15 20:30, AweStruck       , Facebook , #Awe #Breathtaking                          ,22,45, Australia   ,2023,2,15,20,Awe,Positive,"['Experiencing', 'awe', 'at', 'the', 'breathtaking', 'sunset.']","['#Awe', '#Breathtaking']",['Australia']
1, Disappointed with the service at a local restaurant.    , Disappointed ,2023/2/16 9:00, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18,35, India      ,2023,2,16,9,Disappointed,Negative,"['Disappointed', 'with', 'the', 'service', 'at', 'a', 'local', 'restaurant.']","['#Disappointed', '#BadService']",['India']
1, A surprise gift from a friend made my day!              , Surprise     ,2023/2/16 14:45, HappySurprise   , Instagram , #Surprise #Gift                              ,25,50, USA          ,2023,2,16,14,Surprise,Positive,"['A', 'surprise', 'gift', 'from', 'a', 'friend', 'made', 'my', 'day!']","['#Surprise', '#Gift']",['USA']
1, Finding acceptance in the midst of life's challenges.   , Acceptance   ,2023/2/16 18:20, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15,30, Canada     ,2023,2,16,18,Acceptance,Positive,"['Finding', 'acceptance', 'in', 'the', 'midst', 'of', ""life's"", 'challenges.']","['#Acceptance', '#Challenges']",['Canada']
1, Overflowing with adoration for my adorable pet!       , Adoration    ,2023/2/17 10:45, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22,45, UK        ,2023,2,17,10,Adoration,Positive,"['Overflowing', 'with', 'adoration', 'for', 'my', 'adorable', 'pet!', '']","['#Adoration', '#PetLove']",['UK']
1, Anticipating a thrilling adventure in the coming weeks. , Anticipation ,2023/2/17 7:30, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20,40,USA,2023,2,17,7,Anticipation,Positive,"['Anticipating', 'a', 'thrilling', 'adventure', 'in', 'the', 'coming', 'weeks.']","['#Anticipation', '#Adventure']",['USA']
1, A bitter experience turned into a valuable lesson.      , Bitter       ,2023/2/17 15:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18,35, USA       ,2023,2,17,15,Bitter,Negative,"['A', 'bitter', 'experience', 'turned', 'into', 'a', 'valuable', 'lesson.']","['#BitterLesson', '#Growth']",['USA']
1, Finding calmness in the midst of a busy day.            , Calmness     ,2023/2/18 9:30, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15,30, India     ,2023,2,18,9,Calmness,Neutral,"['Finding', 'calmness', 'in', 'the', 'midst', 'of', 'a', 'busy', 'day.']","['#Calmness', '#PeacefulMind']",['India']
1, Confusion clouds my mind as I navigate through decisions., Confusion    ,2023/2/18 14:20, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25,50, UK   ,2023,2,18,14,Confusion,Negative,"['Confusion', 'clouds', 'my', 'mind', 'as', 'I', 'navigate', 'through', 'decisions.']","['#Confusion', '#DecisionMaking']",['UK']
1, Excitement building up for the upcoming vacation!       , Excitement   ,2023/2/18 18:45, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22,45, Canada    ,2023,2,18,18,Excitement,Positive,"['Excitement', 'building', 'up', 'for', 'the', 'upcoming', 'vacation!']","['#Excitement', '#TravelPlans']",['Canada']
1, Kindness witnessed today restored my faith in humanity. , Kind         ,2023/2/19 11:30, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20,40, USA       ,2023,2,19,11,Kind,Positive,"['Kindness', 'witnessed', 'today', 'restored', 'my', 'faith', 'in', 'humanity.']","['#Kindness', '#Humanity']",['USA']
1, Pride in achieving a personal milestone.               , Pride        ,2023/2/19 16:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30,60, Australia    ,2023,2,19,16,Pride,Positive,"['Pride', 'in', 'achieving', 'a', 'personal', 'milestone.']","['#Pride', '#Milestone']",['Australia']
1, A moment of shame for not standing up against injustice. , Shame        ,2023/2/19 19:45, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15,30, India      ,2023,2,19,19,Shame,Negative,"['A', 'moment', 'of', 'shame', 'for', 'not', 'standing', 'up', 'against', 'injustice.']","['#Shame', '#Injustice']",['India']
1, Fuming with anger after a heated argument.            , Anger        ,2023/2/20 9:30, AngryDebater    , Twitter  , #Anger #Argument                             ,20,40, Canada     ,2023,2,20,9,Anger,Negative,"['Fuming', 'with', 'anger', 'after', 'a', 'heated', 'argument.']","['#Anger', '#Argument']",['Canada']
1, The fear of the unknown is keeping me up at night.    , Fear         ,2023/2/20 21:15, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15,30, USA          ,2023,2,20,21,Fear,Negative,"['The', 'fear', 'of', 'the', 'unknown', 'is', 'keeping', 'me', 'up', 'at', 'night.']","['#Fear', '#Unknown']",['USA']
1, Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,2023/2/21 14:45, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25,50, India      ,2023,2,21,14,Sadness,Negative,"['Heartfelt', 'sadness', 'after', 'bidding', 'farewell', 'to', 'a', 'dear', 'friend.']","['#Sadness', '#Farewell']",['India']
1, The state of corruption in our society is utterly disgusting. , Disgust      ,2023/2/21 18:20, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18,35, UK         ,2023,2,21,18,Disgust,Negative,"['The', 'state', 'of', 'corruption', 'in', 'our', 'society', 'is', 'utterly', 'disgusting.']","['#Disgust', '#Corruption']",['UK']
1, Overflowing happiness: welcoming a new family member!  , Happiness    ,2023/2/22 10:00, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30,60, UK           ,2023,2,22,10,Happiness,Positive,"['Overflowing', 'happiness:', 'welcoming', 'a', 'new', 'family', 'member!']","['#Happiness', '#NewFamilyMember']",['UK']
1, Laughter is the key to joyattending a stand-up comedy show. , Joy          ,2023/2/22 19:30, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22,45, Canada    ,2023,2,22,19,Joy,Positive,"['Laughter', 'is', 'the', 'key', 'to', 'joyattending', 'a', 'stand-up', 'comedy', 'show.']","['#Joy', '#StandUpComedy']",['Canada']
1, Sending love to all my followers on this beautiful day! §Ô , Love         ,2023/2/23 8:30, LoveSender      , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,23,8,Love,Positive,"['Sending', 'love', 'to', 'all', 'my', 'followers', 'on', 'this', 'beautiful', 'day!', '§Ô']","['#Love', '#SpreadLove']",['Australia']
1, Amused by the antics of my petit's pure amusement!      , Amusement    ,2023/2/23 14:20, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18,35, UK           ,2023,2,23,14,Amusement,Positive,"['Amused', 'by', 'the', 'antics', 'of', 'my', ""petit's"", 'pure', 'amusement!']","['#Amusement', '#PetAntics']",['UK']
1, Enjoying every moment of this trippure enjoyment!      , Enjoyment    ,2023/2/23 19:45, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25,50, USA ,2023,2,23,19,Enjoyment,Positive,"['Enjoying', 'every', 'moment', 'of', 'this', 'trippure', 'enjoyment!']","['#Enjoyment', '#Travel']",['USA']
1, Admiring the dedication of volunteers at a local charity. , Admiration   ,2023/2/24 11:30, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20,40, USA        ,2023,2,24,11,Admiration,Positive,"['Admiring', 'the', 'dedication', 'of', 'volunteers', 'at', 'a', 'local', 'charity.']","['#Admiration', '#Volunteers']",['USA']
1, Sending affectionate vibes to friends and family.        , Affection    ,2023/2/24 16:00, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15,30,USA,2023,2,24,16,Affection,Positive,"['Sending', 'affectionate', 'vibes', 'to', 'friends', 'and', 'family.']","['#Affection', '#FamilyLove']",['USA']
1, Awe-struck by the beauty of the night sky.               , Awe          ,2023/2/24 20:30, Stargazer       , Facebook , #Awe #StarryNight                        ,22,45, Australia ,2023,2,24,20,Awe,Positive,"['Awe-struck', 'by', 'the', 'beauty', 'of', 'the', 'night', 'sky.']","['#Awe', '#StarryNight']",['Australia']
1, Disappointed with the lack of progress in a personal project. , Disappointed ,2023/2/25 9:00, ProjectStruggle , Twitter  , #Disappointed #Project                     ,18,35, India      ,2023,2,25,9,Disappointed,Negative,"['Disappointed', 'with', 'the', 'lack', 'of', 'progress', 'in', 'a', 'personal', 'project.']","['#Disappointed', '#Project']",['India']
1, A surprise visit from an old friend brought tears of joy. , Surprise     ,2023/2/25 14:45, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25,50, USA          ,2023,2,25,14,Surprise,Positive,"['A', 'surprise', 'visit', 'from', 'an', 'old', 'friend', 'brought', 'tears', 'of', 'joy.']","['#Surprise', '#OldFriends']",['USA']
1, Embracing acceptance of life's ups and downs.           , Acceptance   ,2023/2/25 18:20, LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15,30, Canada     ,2023,2,25,18,Acceptance,Positive,"['Embracing', 'acceptance', 'of', ""life's"", 'ups', 'and', 'downs.']","['#Acceptance', '#LifeJourney']",['Canada']
